timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772265594942,-14.132503,-50.616862,-33.380945,1.635997
1772265594946,-7.476388,25.440307,29.197220,5.199145
1772265594950,-7.401747,-26.819828,-10.032786,5.806226
1772265594954,-16.614664,15.195175,16.730901,0.191044
1772265594958,-24.679107,150.648855,119.009908,-12.698757
1772265594961,-38.209842,103.140515,76.957578,-29.917870
1772265594965,-59.454317,-173.378809,-146.183340,-44.078156
1772265594969,-77.076565,-343.269996,-272.115568,-53.238097
1772265594973,-83.040749,-225.827740,-161.677051,-67.431467
1772265594977,-77.103352,-46.791646,-5.118882,-90.988386
1772265594981,-84.819079,-116.509272,-70.453168,-110.736504
1772265594985,-122.971812,-300.871351,-239.982141,-117.750750
1772265594942,-14.132503,-50.616862,-33.380945,1.635997
1772265594946,-7.476388,25.440307,29.197220,5.199145
1772265594950,-7.401747,-26.819828,-10.032786,5.806226
1772265594954,-16.614664,15.195175,16.730901,0.191044
1772265594958,-24.679107,150.648855,119.009908,-12.698757
1772265594961,-38.209842,103.140515,76.957578,-29.917870
1772265594965,-59.454317,-173.378809,-146.183340,-44.078156
1772265594969,-77.076565,-343.269996,-272.115568,-53.238097
1772265594973,-83.040749,-225.827740,-161.677051,-67.431467
1772265594977,-77.103352,-46.791646,-5.118882,-90.988386
1772265594981,-84.819079,-116.509272,-70.453168,-110.736504
1772265594985,-122.971812,-300.871351,-239.982141,-117.750750
1772265594989,-129.193302,21.039972,39.837427,-130.707447
1772265594993,-152.015062,109.629612,109.262590,-144.999968
1772265594997,-166.836815,99.463335,103.013558,-154.769230
1772265595000,-171.602131,79.161415,86.324635,-155.641036
1772265595004,-168.105279,23.298052,37.575565,-149.731256
1772265595008,-154.302787,-36.449035,-3.696139,-145.928936
1772265595012,-138.568388,-120.552233,-67.456482,-142.540126
1772265595016,-130.581735,-263.444877,-189.477005,-130.842288
1772265595020,-133.823139,-385.960737,-293.425111,-112.847772
1772265595024,-126.326830,-303.688554,-217.545178,-94.056131
1772265595028,-84.910785,37.655295,82.516487,-77.467881
1772265595032,-38.119105,268.130056,272.306005,-64.936453
1772265595036,-47.598461,67.458155,94.095130,-38.825801
1772265595040,-28.709086,-53.092097,4.824551,-22.386492
1772265595043,-13.844260,-96.444729,-27.241173,-8.965110
1772265595047,4.210153,15.817940,58.594785,2.979467
1772265595051,18.994936,30.752687,57.245730,18.938912
1772265595055,28.230774,-54.540408,-23.149863,38.247296
1772265595059,44.085749,-5.637546,24.998922,53.687772
1772265595063,70.572013,80.663780,109.783291,63.117178
1772265595067,93.636882,-25.189437,30.607351,71.503028
1772265595071,89.475212,-281.918292,-187.184863,87.477307
1772265595075,69.232252,-323.151677,-237.857273,110.561327
1772265595079,74.348491,41.341100,60.398030,124.439518
1772265594989,-129.193302,21.039972,39.837427,-130.707447
1772265594993,-152.015062,109.629612,109.262590,-144.999968
1772265594997,-166.836815,99.463335,103.013558,-154.769230
1772265595000,-171.602131,79.161415,86.324635,-155.641036
1772265595004,-168.105279,23.298052,37.575565,-149.731256
1772265595008,-154.302787,-36.449035,-3.696139,-145.928936
1772265595012,-138.568388,-120.552233,-67.456482,-142.540126
1772265595016,-130.581735,-263.444877,-189.477005,-130.842288
1772265595020,-133.823139,-385.960737,-293.425111,-112.847772
1772265595024,-126.326830,-303.688554,-217.545178,-94.056131
1772265595028,-84.910785,37.655295,82.516487,-77.467881
1772265595032,-38.119105,268.130056,272.306005,-64.936453
1772265595036,-47.598461,67.458155,94.095130,-38.825801
1772265595040,-28.709086,-53.092097,4.824551,-22.386492
1772265595043,-13.844260,-96.444729,-27.241173,-8.965110
1772265595047,4.210153,15.817940,58.594785,2.979467
1772265595051,18.994936,30.752687,57.245730,18.938912
1772265595055,28.230774,-54.540408,-23.149863,38.247296
1772265595059,44.085749,-5.637546,24.998922,53.687772
1772265595063,70.572013,80.663780,109.783291,63.117178
1772265595067,93.636882,-25.189437,30.607351,71.503028
1772265595071,89.475212,-281.918292,-187.184863,87.477307
1772265595075,69.232252,-323.151677,-237.857273,110.561327
1772265595079,74.348491,41.341100,60.398030,124.439518
1772265595083,102.331361,74.061353,76.014844,119.294949
1772265595086,109.954325,110.367959,101.646947,122.429730
1772265595090,114.351296,236.876992,205.308793,126.210027
1772265595094,118.195552,302.720122,258.592702,130.038829
1772265595098,128.581501,224.495931,196.701978,130.588782
1772265595102,132.962791,49.812910,48.267813,130.161080
1772265595106,124.142890,-73.824377,-63.070339,134.547073
1772265595110,112.219672,-64.655498,-55.299758,141.988186
1772265595114,114.857389,-37.388473,-19.946716,142.259888
1772265595118,134.018383,21.490659,43.960940,131.278935
1772265595122,137.436921,56.941243,58.848695,120.025196
1772265595125,109.019709,-32.425842,-52.086947,121.907371
1772265595083,102.331361,74.061353,76.014844,119.294949
1772265595086,109.954325,110.367959,101.646947,122.429730
1772265595090,114.351296,236.876992,205.308793,126.210027
1772265595094,118.195552,302.720122,258.592702,130.038829
1772265595098,128.581501,224.495931,196.701978,130.588782
1772265595102,132.962791,49.812910,48.267813,130.161080
1772265595106,124.142890,-73.824377,-63.070339,134.547073
1772265595110,112.219672,-64.655498,-55.299758,141.988186
1772265595114,114.857389,-37.388473,-19.946716,142.259888
1772265595118,134.018383,21.490659,43.960940,131.278935
1772265595122,137.436921,56.941243,58.848695,120.025196
1772265595125,109.019709,-32.425842,-52.086947,121.907371
1772265595129,96.003827,117.747511,79.163594,126.323434
1772265595133,105.098371,170.720122,128.682796,118.153836
1772265595137,115.970730,231.832092,176.067512,109.855026
1772265595141,109.642469,166.298042,112.581675,106.297948
1772265595145,92.035815,31.570010,-6.372457,106.280011
1772265595149,84.979363,36.769905,3.004716,105.398779
1772265595153,89.628157,63.297250,32.761292,100.464951
1772265595157,96.191277,-51.215923,-54.821006,90.659220
1772265595161,91.560095,-169.100153,-151.979717,80.309762
1772265595165,77.874482,-100.941691,-108.126921,75.563738
1772265595168,67.924511,75.503162,27.934597,74.464195
1772265595172,62.395974,143.002468,81.675172,72.777225
1772265595176,61.386433,164.574834,101.203344,70.862012
1772265595180,60.892059,248.196632,167.989867,67.972585
1772265595184,61.550989,272.992032,184.255127,64.116320
1772265595188,63.386307,140.182028,81.224366,60.811439
1772265595192,51.324688,-51.593215,-72.878773,57.168422
1772265595196,32.331550,-81.658961,-99.309116,53.030667
1772265595200,26.746265,59.067407,22.870481,46.977625
1772265595204,37.912790,192.012018,139.711501,36.966735
1772265595207,49.213708,198.929216,142.877626,27.522514
1772265595211,31.877806,7.697455,-31.422958,26.708878
1772265595215,-3.523599,-229.126973,-234.456035,34.852276
1772265595219,-11.451514,-194.140056,-181.889935,39.564963
1772265595129,96.003827,117.747511,79.163594,126.323434
1772265595133,105.098371,170.720122,128.682796,118.153836
1772265595137,115.970730,231.832092,176.067512,109.855026
1772265595141,109.642469,166.298042,112.581675,106.297948
1772265595145,92.035815,31.570010,-6.372457,106.280011
1772265595149,84.979363,36.769905,3.004716,105.398779
1772265595153,89.628157,63.297250,32.761292,100.464951
