timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772267902372,-5.693405,-67.913171,-56.065013,0.469799
1772267902376,-3.160669,-37.724280,-32.977959,1.293102
1772267902380,-0.696451,151.751263,123.690957,4.521843
1772267902384,1.371531,203.782727,167.091715,4.040490
1772267902388,-10.415255,69.530877,55.330353,4.755789
1772267902392,-24.728138,-8.390451,-2.908688,10.147603
1772267902396,-23.368820,26.665507,34.119973,13.758814
1772267902400,-0.102156,19.469823,22.789019,6.317490
1772267902404,24.163037,-54.116952,-52.685739,-9.187557
1772267902407,9.072884,-112.130542,-102.977482,-11.522264
1772267902411,-33.318500,-85.445290,-60.988521,5.125479
1772267902415,-46.806058,92.825481,103.986968,17.455849
1772267902279,38.903336,137.233788,95.556992,5.945766
1772267902282,44.407716,50.806025,19.220592,-1.270760
1772267902286,23.466867,-37.449883,-48.876439,7.057048
1772267902290,2.775901,-29.709006,-34.980357,20.669212
1772267902294,5.258306,40.999524,22.156262,19.678244
1772267902298,17.412711,38.566037,10.699635,5.422685
1772267902302,21.789808,-55.428848,-71.197927,-5.159093
1772267902306,10.687739,-166.523388,-158.996963,-0.419213
1772267902310,-0.361141,-231.654122,-204.803336,8.871330
1772267902314,3.668239,-180.794371,-157.389067,8.475890
1772267902318,11.480216,-37.447863,-43.264252,2.736161
1772267902321,15.349783,67.490311,37.496566,-1.489814
1772267902325,11.750719,76.868431,45.268085,-1.229964
1772267902329,4.099284,114.774613,79.999533,1.324212
1772267902333,-0.135141,208.975949,162.835510,1.494243
1772267902337,-3.369510,175.677105,140.487718,2.189613
1772267902341,2.511267,35.838732,30.054590,2.948482
1772267902345,18.509559,-29.330638,-23.672839,-0.098758
1772267902349,29.623179,2.833415,-2.664908,-6.336387
1772267902353,22.621109,18.618663,9.425669,-9.801971
1772267902357,-7.330130,-73.964998,-60.769769,-1.071945
1772267902361,-27.631483,-104.588883,-77.735380,12.665207
1772267902364,-7.171528,58.438446,54.989846,11.021477
1772267902368,30.447588,184.622830,142.096090,-9.732730
1772267902372,-5.693405,-67.913171,-56.065013,0.469799
1772267902376,-3.160669,-37.724280,-32.977959,1.293102
1772267902380,-0.696451,151.751263,123.690957,4.521843
1772267902384,1.371531,203.782727,167.091715,4.040490
1772267902388,-10.415255,69.530877,55.330353,4.755789
1772267902392,-24.728138,-8.390451,-2.908688,10.147603
1772267902396,-23.368820,26.665507,34.119973,13.758814
1772267902400,-0.102156,19.469823,22.789019,6.317490
1772267902404,24.163037,-54.116952,-52.685739,-9.187557
1772267902407,9.072884,-112.130542,-102.977482,-11.522264
1772267902411,-33.318500,-85.445290,-60.988521,5.125479
1772267902415,-46.806058,92.825481,103.986968,17.455849
1772267902419,-8.391103,129.056719,113.103316,-5.065967
1772267902423,-5.820614,184.667893,159.068158,-6.605222
1772267902427,-7.963459,242.738539,207.589993,-7.843388
1772267902431,-6.876080,204.113336,176.405803,-4.781175
1772267902435,4.630532,134.277910,116.605082,0.659961
1772267902439,13.039027,50.943927,43.790023,5.203163
1772267902443,7.604202,-76.190958,-55.482839,11.833464
1772267902446,-11.776963,-199.394518,-143.408019,22.326896
1772267902450,-14.503618,-114.278053,-69.705347,21.597276
1772267902454,15.100032,101.719148,91.916674,0.085685
1772267902458,38.237660,87.492968,59.710940,-20.727919
1772267902462,18.974220,-59.578999,-59.933241,-15.792742
1772267902419,-8.391103,129.056719,113.103316,-5.065967
1772267902423,-5.820614,184.667893,159.068158,-6.605222
1772267902427,-7.963459,242.738539,207.589993,-7.843388
1772267902431,-6.876080,204.113336,176.405803,-4.781175
1772267902435,4.630532,134.277910,116.605082,0.659961
1772267902439,13.039027,50.943927,43.790023,5.203163
1772267902443,7.604202,-76.190958,-55.482839,11.833464
1772267902446,-11.776963,-199.394518,-143.408019,22.326896
1772267902450,-14.503618,-114.278053,-69.705347,21.597276
1772267902454,15.100032,101.719148,91.916674,0.085685
1772267902458,38.237660,87.492968,59.710940,-20.727919
1772267902462,18.974220,-59.578999,-59.933241,-15.792742
1772267902513,6.639260,82.286433,68.548527,-2.938395
1772267902517,9.471577,27.085561,22.124096,-5.360515
1772267902521,15.617264,-2.070291,-2.156750,-9.245890
1772267902525,20.629161,52.888866,38.162959,-15.390530
1772267902529,11.569988,88.793566,63.146396,-13.691262
1772267902532,-1.910694,50.197329,37.331648,-0.998632
1772267902536,-2.886806,-33.049560,-22.481388,11.575640
1772267902540,21.663970,-55.787416,-45.198818,7.068846
1772267902544,51.250365,18.049377,1.584563,-11.653305
1772267902548,41.865612,-6.747926,-23.479982,-17.156540
1772267902552,-0.245110,-114.572576,-95.723909,2.008375
1772267902556,-26.009148,-52.860616,-28.271731,19.744579
1772267902560,7.097114,70.736053,49.286928,-8.005934
1772267902564,5.910496,-42.141180,-41.848087,-11.156892
1772267902568,2.683860,-292.764362,-242.221543,-5.392217
1772267902571,1.753699,-319.528427,-258.944887,2.553819
1772267902575,9.145736,-62.361879,-50.611358,3.055494
1772267902579,13.025389,92.909716,69.603509,-2.824959
1772267902583,1.721305,-9.255327,-11.779577,-3.525784
1772267902587,-23.662886,-138.902416,-106.607170,7.890824
1772267902591,-30.049156,-63.081845,-38.890548,13.896638
1772267902595,-4.478792,44.370216,37.440941,-1.922579
1772267902599,16.528246,-21.252344,-35.657792,-25.625667
1772267902603,-2.412675,-92.757489,-92.835549,-26.724788
1772267902607,-37.305990,88.473004,83.388301,4.501935
1772267902611,-20.909971,219.401290,190.424288,8.061993
1772267902614,6.168652,219.574135,177.263380,-2.473403
1772267902618,7.323096,146.835148,106.227682,-8.695575
1772267902622,-12.400704,81.599267,62.025198,-0.378092
1772267902626,-28.631966,26.829869,32.863317,11.412539
1772267902630,-25.781372,-34.263240,-18.346761,10.312879
1772267902634,-9.427790,-62.075817,-51.883215,-3.406066
1772267902638,-3.966460,-137.557650,-119.567868,-14.547584
1772267902642,-10.441526,-277.902652,-232.817830,-16.882423
1772267902646,-17.756501,-265.797786,-220.043455,-13.903756
1772267902650,-18.485340,-43.748666,-36.708036,-10.398085
1772267902653,-10.580639,132.064503,109.673525,-9.408500
1772267902657,-3.677076,145.584974,118.605907,-10.706673
1772267902661,4.666035,155.128596,121.238323,-14.205880
1772267902665,11.768346,164.002698,127.568934,-15.361061
1772267902669,6.020969,58.335132,45.555436,-9.316896
1772267902673,-8.262421,-63.566031,-42.996915,1.223679
1772267902677,-19.053419,-81.011617,-49.455531,8.087728
1772267902681,-6.514453,-18.405153,-5.872523,1.315332
1772267902685,18.272779,-58.566773,-53.546160,-13.491554
1772267902689,12.033919,-247.054574,-211.928409,-14.258114
1772267902693,-25.367027,-270.793767,-214.577728,9.311297
1772267902696,-47.953479,-41.166669,-6.876850,37.477624
1772267902607,-37.305990,88.473004,83.388301,4.501935
1772267902611,-20.909971,219.401290,190.424288,8.061993
1772267902614,6.168652,219.574135,177.263380,-2.473403
1772267902618,7.323096,146.835148,106.227682,-8.695575
1772267902622,-12.400704,81.599267,62.025198,-0.378092
1772267902626,-28.631966,26.829869,32.863317,11.412539
1772267902630,-25.781372,-34.263240,-18.346761,10.312879
1772267902634,-9.427790,-62.075817,-51.883215,-3.406066
1772267902638,-3.966460,-137.557650,-119.567868,-14.547584
1772267902642,-10.441526,-277.902652,-232.817830,-16.882423
1772267902646,-17.756501,-265.797786,-220.043455,-13.903756
1772267902650,-18.485340,-43.748666,-36.708036,-10.398085
1772267902653,-10.580639,132.064503,109.673525,-9.408500
1772267902657,-3.677076,145.584974,118.605907,-10.706673
1772267902661,4.666035,155.128596,121.238323,-14.205880
1772267902665,11.768346,164.002698,127.568934,-15.361061
1772267902669,6.020969,58.335132,45.555436,-9.316896
1772267902673,-8.262421,-63.566031,-42.996915,1.223679
1772267902677,-19.053419,-81.011617,-49.455531,8.087728
1772267902681,-6.514453,-18.405153,-5.872523,1.315332
1772267902685,18.272779,-58.566773,-53.546160,-13.491554
1772267902689,12.033919,-247.054574,-211.928409,-14.258114
1772267902693,-25.367027,-270.793767,-214.577728,9.311297
1772267902696,-47.953479,-41.166669,-6.876850,37.477624
1772267902700,-5.987456,64.790326,66.333136,21.522650
1772267902704,-6.840900,108.322480,104.778771,18.521689
1772267902708,-17.583344,167.654903,147.965913,8.139267
1772267902712,-24.585537,149.450179,129.218379,1.529140
1772267902716,-20.810488,41.772964,38.473590,-2.503529
1772267902720,-16.331786,-74.974734,-64.732119,-7.730505
1772267902724,-22.250120,-135.316808,-118.693823,-5.968334
1772267902728,-41.057869,-204.537944,-169.560761,9.266595
1772267902732,-42.440569,-282.607480,-225.072980,20.985527
1772267902736,-11.943248,-254.047084,-211.505333,9.335192
1772267902739,19.790672,-162.521244,-162.602020,-14.167798
1772267902743,14.830754,-140.057919,-151.373436,-16.145274
1772267902700,-5.987456,64.790326,66.333136,21.522650
1772267902704,-6.840900,108.322480,104.778771,18.521689
1772267902708,-17.583344,167.654903,147.965913,8.139267
1772267902712,-24.585537,149.450179,129.218379,1.529140
1772267902716,-20.810488,41.772964,38.473590,-2.503529
1772267902720,-16.331786,-74.974734,-64.732119,-7.730505
1772267902724,-22.250120,-135.316808,-118.693823,-5.968334
1772267902728,-41.057869,-204.537944,-169.560761,9.266595
1772267902732,-42.440569,-282.607480,-225.072980,20.985527
1772267902736,-11.943248,-254.047084,-211.505333,9.335192
1772267902739,19.790672,-162.521244,-162.602020,-14.167798
1772267902743,14.830754,-140.057919,-151.373436,-16.145274
1772267902747,1.434961,-86.848305,-92.768104,5.984968
1772267902751,2.413177,-11.428878,-27.929003,11.007043
1772267902755,5.311572,83.018850,45.237550,8.157696
1772267902759,5.797545,-1.344990,-31.528788,0.821881
1772267902763,8.852166,-133.684934,-142.137145,-5.048186
1772267902767,15.770349,-140.421186,-146.588315,-7.903390
1772267902771,28.829683,-79.144100,-96.809304,-13.598128
1772267902775,33.491189,-127.925745,-136.218127,-20.112513
1772267902778,10.560101,-294.872375,-267.934237,-13.702344
1772267902782,-15.323953,-297.433596,-258.140721,3.432203
1772267902786,-10.321015,-76.897437,-73.142319,10.020034
1772267902790,28.151846,158.589088,102.860343,-7.471023
1772267902747,1.434961,-86.848305,-92.768104,5.984968
1772267902751,2.413177,-11.428878,-27.929003,11.007043
1772267902755,5.311572,83.018850,45.237550,8.157696
1772267902759,5.797545,-1.344990,-31.528788,0.821881
1772267902763,8.852166,-133.684934,-142.137145,-5.048186
1772267902767,15.770349,-140.421186,-146.588315,-7.903390
1772267902771,28.829683,-79.144100,-96.809304,-13.598128
1772267902775,33.491189,-127.925745,-136.218127,-20.112513
1772267902778,10.560101,-294.872375,-267.934237,-13.702344
1772267902782,-15.323953,-297.433596,-258.140721,3.432203
1772267902786,-10.321015,-76.897437,-73.142319,10.020034
1772267902790,28.151846,158.589088,102.860343,-7.471023
1772267902794,7.444099,-16.857050,-43.745637,-4.768807
1772267902798,6.359893,39.716073,6.082358,-4.675812
1772267902802,9.619393,117.045240,78.399503,-0.817304
1772267902806,15.493302,89.124215,57.001735,2.819065
1772267902810,10.920211,-36.486813,-51.925440,4.440932
1772267902814,-3.913940,-129.552040,-125.172922,7.189596
1772267902818,-16.443937,-158.359572,-137.084892,12.452268
1772267902821,0.268550,-135.063304,-114.165625,11.880645
1772267902825,33.265311,-62.666519,-66.469542,2.283734
1772267902829,35.274266,-79.541406,-91.310652,-1.515697
1772267902833,-1.107675,-210.143545,-185.548477,15.677496
1772267902837,-36.300491,-171.441806,-130.729714,40.736881
1772267902794,7.444099,-16.857050,-43.745637,-4.768807
1772267902798,6.359893,39.716073,6.082358,-4.675812
1772267902802,9.619393,117.045240,78.399503,-0.817304
1772267902806,15.493302,89.124215,57.001735,2.819065
1772267902810,10.920211,-36.486813,-51.925440,4.440932
1772267902814,-3.913940,-129.552040,-125.172922,7.189596
1772267902818,-16.443937,-158.359572,-137.084892,12.452268
1772267902821,0.268550,-135.063304,-114.165625,11.880645
1772267902825,33.265311,-62.666519,-66.469542,2.283734
1772267902829,35.274266,-79.541406,-91.310652,-1.515697
1772267902833,-1.107675,-210.143545,-185.548477,15.677496
1772267902837,-36.300491,-171.441806,-130.729714,40.736881
1772267902841,8.485032,18.359475,9.356558,22.126746
1772267902845,10.973828,99.497683,76.881460,19.320245
1772267902849,6.122916,105.824520,88.325564,19.994620
1772267902853,5.593598,49.169325,46.383786,24.001848
1772267902857,14.713498,29.630965,30.335298,26.690194
1772267902860,24.282069,13.212005,17.078572,25.606106
1772267902864,18.052898,-103.332306,-73.203315,23.844258
1772267902868,-9.968580,-241.779723,-182.023832,26.936273
1772267902872,-24.565403,-107.575393,-71.129372,26.651893
1772267902876,-3.619094,180.272908,154.569966,10.571689
1772267902880,28.692676,247.356046,186.208437,-15.184030
1772267902884,23.121395,96.114311,47.227782,-26.281569
1772267902841,8.485032,18.359475,9.356558,22.126746
1772267902845,10.973828,99.497683,76.881460,19.320245
1772267902849,6.122916,105.824520,88.325564,19.994620
1772267902853,5.593598,49.169325,46.383786,24.001848
1772267902857,14.713498,29.630965,30.335298,26.690194
1772267902860,24.282069,13.212005,17.078572,25.606106
1772267902864,18.052898,-103.332306,-73.203315,23.844258
1772267902868,-9.968580,-241.779723,-182.023832,26.936273
1772267902872,-24.565403,-107.575393,-71.129372,26.651893
1772267902876,-3.619094,180.272908,154.569966,10.571689
1772267902880,28.692676,247.356046,186.208437,-15.184030
1772267902884,23.121395,96.114311,47.227782,-26.281569
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902935,-0.853695,-47.657963,-77.423795,10.719286
1772267902939,0.236143,18.903234,-22.869753,9.028430
1772267902943,3.474023,-32.827652,-67.599778,3.850598
1772267902946,8.676695,15.591900,-30.093659,3.027175
1772267902950,7.373071,100.156136,38.796368,9.374537
1772267902954,-5.230026,40.925651,-6.662097,17.849933
1772267902958,-21.716913,-165.555887,-173.542629,21.418653
1772267902962,-8.477533,-230.355273,-226.953747,12.303141
1772267902966,26.163626,-96.582150,-125.714464,-8.004449
1772267902970,30.997449,-112.748354,-154.995058,-25.096964
1772267902974,-10.939199,-274.624531,-289.471594,-24.053978
1772267902978,-57.767564,-268.552935,-270.412857,-11.914455
1772267902982,-14.124449,-6.603383,-65.867860,-33.009542
1772267902985,-10.554416,33.914852,-33.091320,-30.674763
1772267902989,-10.863250,-5.446057,-65.344666,-25.385674
1772267902993,-8.440422,31.200656,-28.050153,-17.852927
1772267902997,-1.935329,93.101086,30.993504,-15.388322
1772267903001,8.580535,54.781064,0.189968,-20.959626
1772267903005,9.049753,-113.855126,-142.404218,-23.677811
1772267903009,-12.541661,-274.804064,-271.796771,-12.932843
