timestamp,TP9_uV,AF7_uV,AF8_uV,TP10_uV
1772265421142,-11.613274,77.461887,236.185807,-30.234809
1772265421146,-0.496148,202.465870,321.769967,-40.710507
1772265421150,-19.974393,200.253895,299.882286,-41.351543
1772265421154,-37.415931,254.814859,329.055049,-16.253827
1772265421158,-19.780437,301.669743,357.552716,24.324836
1772265421162,5.719739,159.333217,235.672520,23.263401
1772265421166,15.150537,-86.290971,26.715485,-27.310222
1772265421170,5.668521,-222.697494,-99.098398,-62.967295
1772265421173,-18.201501,-240.008074,-127.974396,-44.457277
1772265421177,-39.159544,-330.837025,-219.494561,-15.159576
1772265421181,-39.861062,-521.167354,-395.609897,-28.837975
1772265421103,-3.423406,687.314753,799.114316,-7.552389
1772265421107,-9.316656,657.749162,777.704655,32.101974
1772265421111,8.874423,694.396667,794.652063,34.010161
1772265421115,23.902473,682.632281,767.608134,10.309431
1772265421119,8.065041,531.715526,640.712304,-6.988511
1772265421123,-19.051647,346.499837,499.574994,-19.031186
1772265421127,-22.214436,222.419843,401.175233,-24.792964
1772265421131,-6.218954,119.711355,303.689853,-20.792734
1772265421134,-3.319000,-23.243168,172.005681,-13.162662
1772265421138,-15.986990,-75.848670,120.335346,-16.164507
1772265421142,-11.613274,77.461887,236.185807,-30.234809
1772265421146,-0.496148,202.465870,321.769967,-40.710507
1772265421150,-19.974393,200.253895,299.882286,-41.351543
1772265421154,-37.415931,254.814859,329.055049,-16.253827
1772265421158,-19.780437,301.669743,357.552716,24.324836
1772265421162,5.719739,159.333217,235.672520,23.263401
1772265421166,15.150537,-86.290971,26.715485,-27.310222
1772265421170,5.668521,-222.697494,-99.098398,-62.967295
1772265421173,-18.201501,-240.008074,-127.974396,-44.457277
1772265421177,-39.159544,-330.837025,-219.494561,-15.159576
1772265421181,-39.861062,-521.167354,-395.609897,-28.837975
1772265421185,-60.729730,-541.477169,-393.401239,-10.439596
1772265421189,-50.631060,-395.465207,-285.874880,13.992767
1772265421193,-36.928446,-378.539052,-322.410884,-6.246944
1772265421197,-60.410839,-432.470438,-422.969073,-48.439646
1772265421201,-86.621374,-456.774266,-458.337423,-80.963118
1772265421205,-100.225798,-498.581409,-470.792750,-116.726625
1772265421209,-130.230910,-629.738645,-571.297942,-156.414470
1772265421213,-146.184782,-757.520699,-712.180838,-163.487116
1772265421216,-125.706095,-827.973142,-814.820421,-143.048572
1772265421220,-106.826650,-914.658747,-905.221650,-127.101464
1772265421224,-116.220608,-983.793688,-995.986344,-130.274720
1772265421228,-142.282649,-974.484908,-1040.136803,-148.741091
1772265421232,-164.015175,-932.661742,-1016.010446,-150.567450
1772265421236,-156.386917,-901.407065,-988.588872,-131.725917
1772265421240,-126.568631,-865.214132,-966.689432,-131.209210
1772265421244,-135.632434,-807.975918,-916.114752,-133.375238
1772265421248,-124.052078,-820.388029,-934.416951,-131.825288
1772265421252,-97.522977,-811.712600,-938.873084,-107.615137
1772265421255,-88.493116,-755.134676,-890.500016,-112.467331
1772265421259,-90.423093,-684.703963,-822.314836,-124.842177
1772265421263,-78.654985,-652.823912,-791.699063,-91.358875
1772265421267,-53.067952,-667.856773,-799.686056,-37.967553
1772265421271,-18.352064,-683.429999,-801.320703,-14.749603
1772265421275,2.166538,-646.030680,-757.762670,-18.553269
1772265421279,2.815565,-554.955865,-680.756561,-13.249951
1772265421283,10.390230,-481.212825,-624.114749,17.925335
1772265421287,26.305089,-476.354795,-622.554102,51.529432
1772265421291,52.777408,-463.028235,-630.769824,38.876971
1772265421295,56.708526,-355.052312,-575.500218,47.309539
1772265421298,79.492883,-254.954199,-511.790690,93.410413
1772265421302,110.854676,-149.817129,-421.217701,126.822040
1772265421306,125.963893,-104.393926,-369.214682,134.611003
1772265421310,139.892449,-170.218179,-405.668088,143.151163
1772265421314,159.560165,-267.124031,-443.768181,135.738807
1772265421318,153.132480,-301.535284,-435.812821,110.323679
1772265421322,125.773475,-262.039749,-421.641397,114.210795
1772265421326,118.813831,-264.122628,-420.863616,157.552507
1772265421330,125.474957,-329.096167,-409.259881,173.772772
1772265421334,116.521149,-326.599701,-367.405217,136.125880
1772265421338,111.433679,-261.797383,-319.201776,116.351894
1772265421341,125.011831,-250.498664,-301.334034,136.449324
1772265421345,130.202497,-300.098110,-310.940677,142.373038
1772265421349,120.468238,-310.070789,-307.029437,125.484370
1772265421353,114.409613,-229.324845,-266.457150,113.433720
1772265421357,122.737822,-135.583697,-217.854400,121.843460
1772265421361,138.814965,-125.369130,-203.736193,138.532116
1772265421365,142.728831,-161.109973,-220.182544,140.305544
1772265421369,130.801246,-114.765347,-217.646569,130.604305
1772265421373,112.247162,9.862178,-174.769539,119.760299
1772265421377,103.056148,123.652975,-114.070381,103.462583
1772265421380,118.357063,219.317763,-44.195895,82.144454
1772265421384,92.420379,273.935753,8.837190,72.853545
1772265421388,83.383891,162.904713,-17.354886,73.652018
1772265421392,86.799183,-48.794745,-82.828851,73.948178
1772265421396,74.791722,-135.382103,-97.563833,63.781754
1772265421400,50.057152,-119.950183,-80.594314,60.438763
1772265421404,35.464817,-97.805027,-68.040738,58.516715
1772265421408,31.167460,-82.449130,-57.658601,30.854240
1772265421412,33.807013,-62.063541,-40.492462,-1.684736
1772265421416,30.014029,-41.133989,-20.394296,-7.874707
1772265421420,16.137716,-31.236403,-7.838061,-10.372575
1772265421423,11.616608,-30.776013,-4.162529,-14.890395
1772265421427,14.913394,-26.105065,0.750581,2.527115
1772265421431,17.568651,-9.600644,15.136054,36.911741
1772265421435,17.121993,10.753303,34.315022,49.349110
1772265421439,15.909345,21.868165,46.497810,25.285238
1772265421443,28.624818,22.066901,48.261098,8.439197
1772265421447,41.487760,23.186190,49.681858,12.344307
1772265421451,14.423836,35.857065,61.633373,-4.883083
1772265421455,-6.058101,70.346535,87.168916,-41.065348
1772265421459,-18.960902,47.816005,78.867285,-30.375689
1772265421462,-21.891509,40.157330,77.185393,5.171648
1772265421466,-20.502927,72.888400,96.288667,12.208460
1772265421470,-7.680160,108.155463,119.179870,2.535953
1772265421474,9.140676,100.487032,122.399115,-1.154324
1772265421478,10.439413,68.557198,110.954677,-12.207623
1772265421482,9.361363,71.996490,111.781478,-22.058116
1772265421486,15.713586,121.313428,133.764474,-3.294985
1772265421490,24.927436,154.765228,154.627385,29.814447
1772265421494,35.867496,127.850733,149.193267,42.091057
1772265421498,39.573550,111.070080,138.472948,36.812520
1772265421502,39.376951,200.265683,180.200014,37.691177
1772265421505,45.551810,300.512325,237.612536,48.944745
1772265421509,42.895202,300.870265,257.498635,45.591801
1772265421513,19.288144,379.661999,376.151736,23.718653
1772265421517,1.808855,683.328507,677.359217,14.704041
1772265421521,13.165648,1017.709373,972.236904,16.930152
1772265421525,0.476418,1001.103498,977.731702,4.984951
1772265421529,-1.490684,1089.831569,1079.848432,-7.793969
1772265421533,13.677144,1288.525850,1257.188736,8.872079
1772265421537,34.594171,1353.998819,1315.086731,27.537103
1772265421541,34.192947,1262.831405,1248.299196,19.010137
1772265421545,12.101023,1199.134720,1215.925999,18.755360
1772265421548,-10.352378,1200.806141,1238.162383,31.345985
1772265421552,-8.922698,1205.195189,1249.279390,4.053756
1772265421556,8.290164,1167.357424,1205.567865,-40.489815
1772265421560,11.915326,1135.312197,1158.505451,-32.061675
1772265421564,-1.690631,1146.596805,1159.918026,5.289436
1772265421568,-22.553283,1223.413376,1232.329207,25.714034
1772265421572,-10.130260,1150.663128,1150.454265,32.898235
1772265421576,-9.248740,1289.272502,1267.436836,29.463724
1772265421580,1.004585,1485.119970,1444.404721,6.173593
1772265421584,-7.540979,1421.137219,1399.144253,-16.994960
1772265421587,-18.524589,1128.988464,1134.618897,-12.543099
1772265421591,-7.441752,916.713208,931.381983,9.706927
1772265421595,5.541890,982.318355,1004.987938,22.138432
1772265421599,2.228511,1154.585953,1208.359976,26.815890
1772265421603,-1.839289,808.339292,887.627678,28.661465
1772265421607,8.647218,102.738614,170.126612,11.727706
1772265421611,30.695715,159.136163,205.231663,-16.624274
1772265421615,35.124717,472.976187,517.744123,-20.505825
1772265421619,-9.725727,264.475232,332.224186,-6.948036
1772265421623,-3.439144,488.534181,548.920774,9.373358
1772265421627,14.322932,993.335220,1030.433400,20.889565
1772265421630,13.267988,1043.255354,1072.961395,17.652391
1772265421634,-0.674252,903.328560,950.266924,22.047856
1772265421638,-5.907208,899.597925,962.469167,30.509654
1772265421642,0.911221,996.220023,1050.314344,20.513331
1772265421646,18.001120,949.542355,981.833714,14.820135
1772265421650,39.633202,704.383007,731.189895,34.138962
1772265421654,43.388427,521.380203,564.438851,58.608949
1772265421658,30.759538,638.143433,694.090120,55.330688
1772265421662,22.337248,894.865347,941.270180,24.182217
1772265421666,10.711540,884.847665,912.780641,7.936554
1772265421670,-7.157544,511.434928,537.248600,11.639337
1772265421673,-21.246237,196.434010,236.905758,-4.930075
1772265421677,-30.688211,358.950683,407.183058,-34.774995
1772265421681,-34.251450,799.281898,836.276784,-31.890116
1772265421685,-44.279941,879.909775,903.361218,1.634569
1772265421689,-62.012649,377.575725,404.583763,9.198224
1772265421693,-64.422499,-126.839665,-85.903601,-28.724329
1772265421697,-56.975372,-339.093258,-299.272140,-68.591424
1772265421701,-88.453120,-563.422044,-515.936781,-70.304182
1772265421705,-87.364781,-438.700453,-364.939907,-73.558547
1772265421709,-79.550832,-68.329648,44.663092,-99.644476
1772265421712,-81.831251,-68.409553,40.858700,-114.336358
1772265421716,-100.164304,-308.770794,-231.680803,-101.288616
1772265421720,-111.288016,-647.834621,-589.593861,-97.869310
1772265421724,-108.614225,-998.256504,-951.785511,-103.623599
1772265421728,-115.176768,-1367.168013,-1335.312183,-101.453360
1772265421732,-125.594374,-1622.874871,-1599.667137,-110.184622
1772265421736,-130.741482,-1594.174276,-1575.647757,-129.288306
1772265421740,-147.162387,-1408.977923,-1401.216706,-144.385569
1772265421744,-168.764593,-1321.885385,-1323.630891,-154.955715
1772265421748,-168.362567,-1401.626935,-1397.695450,-157.331842
1772265421752,-141.532581,-1487.122690,-1470.261575,-160.943153
1772265421755,-117.443729,-1398.768945,-1382.382779,-168.359187
1772265421759,-133.739288,-1209.908065,-1200.553414,-151.836016
1772265421763,-127.989115,-1162.551943,-1158.225474,-127.530127
1772265421767,-114.563141,-1224.418869,-1221.105139,-112.250141
1772265421771,-97.377060,-1262.477904,-1255.828072,-121.166623
1772265421775,-80.035377,-1177.123259,-1168.400639,-129.693872
1772265421779,-62.264088,-1037.387193,-1031.078881,-103.754397
1772265421783,-40.264031,-985.621234,-982.872919,-60.459097
1772265421787,-22.533036,-1043.562493,-1041.003202,-35.341019
1772265421791,-16.141348,-1085.309998,-1080.311401,-29.630738
1772265421794,-9.426023,-1011.195413,-1005.442017,-25.243844
1772265421798,3.579323,-881.501068,-878.001653,-14.092125
1772265421802,13.649987,-829.158992,-827.729951,6.662531
1772265421806,14.865398,-877.384660,-875.328296,27.598922
1772265421810,13.951281,-914.066743,-910.494540,25.869637
1772265421814,19.442683,-850.853631,-847.829454,12.399455
1772265421818,32.032088,-740.751195,-739.683219,15.946740
1772265421822,44.652793,-695.127808,-694.986484,24.979247
1772265421826,42.715646,-729.575289,-727.931040,25.273697
1772265421830,29.311843,-747.501768,-746.211021,33.504582
1772265421834,30.038489,-681.656709,-690.914585,55.655566
1772265421837,48.143141,-589.401283,-609.200425,67.730054
1772265421841,58.602809,-518.224259,-538.814491,54.339722
1772265421845,46.232598,-427.430489,-456.405141,37.018025
1772265421849,24.043469,-303.462182,-352.895631,35.476293
1772265421185,-60.729730,-541.477169,-393.401239,-10.439596
1772265421189,-50.631060,-395.465207,-285.874880,13.992767
1772265421193,-36.928446,-378.539052,-322.410884,-6.246944
1772265421197,-60.410839,-432.470438,-422.969073,-48.439646
1772265421201,-86.621374,-456.774266,-458.337423,-80.963118
1772265421205,-100.225798,-498.581409,-470.792750,-116.726625
1772265421209,-130.230910,-629.738645,-571.297942,-156.414470
1772265421213,-146.184782,-757.520699,-712.180838,-163.487116
1772265421216,-125.706095,-827.973142,-814.820421,-143.048572
