timestamp_ms,key_pressed,chTP9_raw_uv,chAF7_raw_uv,chAF8_raw_uv,chTP10_raw_uv
1772270065386,none,49.316406,324.707031,169.433594,29.785156
1772270065390,none,-46.386719,-51.269531,-115.722656,22.949219
1772270065394,none,-34.179688,-390.136719,-405.761719,-0.488281
1772270065351,none,-56.640625,-175.781250,-222.656250,12.695313
1772270065355,none,-10.742188,-268.066406,-332.031250,-10.742188
1772270065359,none,85.937500,74.218750,-70.800781,-2.929688
1772270065363,none,110.839844,213.378906,33.203125,17.089844
1772270065367,none,38.574219,145.996094,21.484375,21.972656
1772270065371,none,-50.781250,-310.058594,-339.843750,20.996094
1772270065375,none,-21.484375,-508.789063,-516.601563,6.347656
1772270065378,none,72.753906,-437.011719,-468.750000,-3.906250
1772270065382,none,105.957031,-165.527344,-265.136719,11.718750
1772270065386,none,49.316406,324.707031,169.433594,29.785156
1772270065390,none,-46.386719,-51.269531,-115.722656,22.949219
1772270065394,none,-34.179688,-390.136719,-405.761719,-0.488281
1772270065398,none,68.847656,61.035156,-43.945313,0.488281
1772270065402,none,110.839844,355.468750,176.269531,27.343750
1772270065406,none,62.988281,284.179688,148.925781,41.015625
1772270065410,none,-36.132813,-68.847656,-109.863281,30.273438
1772270065414,none,-45.898438,-278.320313,-296.875000,1.953125
1772270065418,none,52.734375,-53.222656,-126.464844,-10.253906
1772270065421,none,102.539063,-18.066406,-115.722656,6.835938
1772270065425,none,64.941406,-79.589844,-137.695313,27.832031
1772270065429,none,-30.273438,24.414063,-18.066406,35.644531
1772270065433,none,-53.710938,-111.816406,-135.742188,18.554688
1772270065437,none,45.410156,-42.968750,-96.679688,11.230469
1772270065441,none,110.839844,194.335938,66.894531,31.250000
1772270065445,none,84.960938,468.750000,320.800781,44.433594
1772270065449,none,-12.207031,274.414063,201.660156,38.085938
1772270065453,none,-54.687500,-346.679688,-330.566406,23.437500
1772270065457,none,30.761719,-166.015625,-190.429688,18.066406
1772270065460,none,100.097656,252.441406,131.835938,25.390625
1772270065464,none,85.449219,349.121094,228.515625,33.691406
1772270065468,none,-6.835938,-142.089844,-129.394531,26.855469
1772270065472,none,-62.500000,-684.082031,-601.074219,5.371094
1772270065476,none,6.835938,-179.687500,-208.984375,-14.160156
1772270065480,none,85.449219,91.796875,-4.882813,-7.324219
1772270065484,none,89.843750,183.593750,79.101563,19.531250
1772270065488,none,4.882813,255.371094,181.152344,26.855469
